PAUSED	暂停	menu_paused
select item in slot 9	选择 9 号槽物品	controls_itemslot9
select item in slot 10	选择 10 号槽物品	controls_itemslot10
pause/close	暂停/关闭	controls_escape
o2	氧气	hud_air_unit
Air: $0 / $1	空气：$0 / $1	hud_air
Health: $0 / $1	生命值：$0 / $1	hud_health
Levitation energy: $0 / $1	浮空能量：$0 / $1	hud_jetpack
Wand mana: $0 / $1	魔杖法力：$0 / $1	hud_wand_mana
Wand recharge: $0 s	魔杖充能：$0 秒	hud_wand_reload
Gold: $0	黄金：$0	hud_gold
Orbs collected: $0	获得魔球：$0	hud_orbs
WANDS	魔杖	hud_title_wands
ITEMS	物品	hud_title_throwables
SPELLS	法术	hud_title_actionstorage
NEW WAND	新魔杖	menu_newwand_title
Press $0 again to pick the wand	再按一次 $0 拾起魔杖	menu_newwand_pressagain_pick
Press $0 to cancel	按 $0 取消	menu_newwand_pressagain_cancel
WHICH WAND DO YOU WANT TO DROP?	希望丢弃哪支魔杖？	menu_newwand_whichwand_gamepad
WHICH WAND DO YOU WANT TO DROP? (Click it!)	希望丢弃哪支魔杖？（请点击！）	menu_newwand_whichwand_keyboard
$0 - empty slot	$0 - 空槽	menu_newwand_emptyslot
Press $0 again to pick the book	再按一次 $0 拾起魔法书	menu_newbook_pressagain_pick
Press $0 to close	按 $0 关闭	menu_newbook_pressagain_close
Empty	空	item_empty
Wand	魔杖	item_wand
Potion	烧瓶	item_potion
Cocktail	鸡尾酒	item_cocktail
Orb	魔球	item_orb
Equip and throw	可饮用或投掷	item_description_potion
Equip and throw	可投掷	item_description_egg
$0 potion	$0烧瓶	item_potion_with_material
 ($0% full)	（$0% 剩余）	item_potion_fullness
Empty	空	item_potion_empty
Egg	蛋	item_egg
Treasure chest	宝箱	item_chest_treasure
Gold nugget	金块	item_goldnugget
Extra max HP	追加生命值上限	item_heart
Large extra max HP	大幅追加生命值上限	item_heart_better
Full health regeneration	完全生命值恢复	item_heart_fullhp
Unidentified item	未鉴定的物品	item_unidentified
Not enough gold to purchase '$0'	黄金不足以购买“$0”	itempickup_notenoughgold
Press $0 to purchase '$1'	按 $0 购买“$1”	itempickup_purchase
Press $0 to pick '$1'	按 $0 拾取“$1”	itempickup_pick
Press $0 to read '$1'	按 $0 阅读“$1”	itempickup_read
Press $0 to purchase '$1' and swap an item with it	按 $0 购买“$1”并将一件物品与其交换	itempickup_purchase_swap
Press $0 to swap an item with '$1'	按 $0 将一件物品与“$1”交换	itempickup_pick_swap
Cannot pick '$0'. Please get rid of an item to make space for it	无法拾取“$0”。请丢弃一件物品以腾出空间	itempickup_cannotpick
Close the inventory first to pick '$0'	拾取“$0”前请先关闭物品栏	itempickup_cannotpick_closeinventory
Press $0 to tinker with wands	按 $0 对魔杖进行修改	hint_editwands
Press $0 to complete the Work	按 $0 完成“伟大之作”	hint_endingmcguffin_use
$0 	$0 	log_pickedup_perk
Picked up $0	已拾取“$0”	log_pickedup
Equipped $0	已装备“$0”	log_equipped
Entered $0	已进入“$0”	log_entered
Damage: $0	伤害：$0	log_damage
Death: $0	死亡：$0	log_death
Teleported!	已传送！	log_teleported
Something entered a teleport nearby	有什么东西在附近传送了	log_teleported_something
Saving Grace saved you!	“死里逃生”让你免于死亡！	log_gamefx_savinggrace
You get one more chance!	你还有一次机会！	log_gamefx_respawn
Extra life saved you	“额外生命”让你续了一条命！	logdesc_gamefx_respawn
RECHARGING..	正在充能...	log_recharging
Temporarily blinded!	暂时失明！	log_blindness
Polymorphed!	被变形了！	log_polymorph
BLOCK	格挡	log_block_attack
RESURRECTED	复活	log_coop_resurrected
Resurrected player $0!	复活了玩家“$0”！	log_coop_resurrected_player
Partner is dead!	小伙伴挂了！	log_coop_partner_is_dead
CO-OP!	合作！	log_coop_started
Opened a treasure chest!	已开启一个宝箱！	log_chest
You got $0 gold!	获得 $0 黄金！	logdesc_chest_gold
Picked up Extra Max Health	已拾取“追加生命值上限”	log_heart
Increased maximum health to $0	将生命值上限提高为 $0	logdesc_heart
Increased maximum health to $0 ..but some sort of curse blocked the increase of maximum health!	将生命值上限提高为 $0...但某种诅咒阻碍了生命值上限的提升！	logdesc_heart_blocked
Picked up Extra Max Health	已拾取“追加生命值上限”	log_heart_better
Increased maximum health to $0	将生命值上限提高为 $0	logdesc_heart_better
Picked up Full Health Regeneration	已拾取“完全生命值恢复”	log_heart_fullhp
You have discovered $0	你发现了“$0”	log_discovered
Sort	排序	inventory_sort
Shuffle	乱序	inventory_shuffle
Wands that shuffle cast their spells in random order.	以随机乱序施放法术的魔杖。	inventory_shuffle_tooltip
Spells/Cast	法术数/施放	inventory_actionspercast
The number of spells this wand casts when used.	使用这支魔杖时，施放的法术数量。	inventory_actionspercast_tooltip
Cast delay	施放延迟	inventory_castdelay
The time between casts.	法术施放的时间间隔。	inventory_castdelay_tooltip
Rechrg. Time	充能时间	inventory_rechargetime
The time it takes for this wand to recharge when all spells inside it have been cast.	魔杖内所有法术均被施放后所需的充能时间。	inventory_rechargetime_tooltip
Mana max	法力最大值	inventory_manamax
Maximum amount of mana this wand can store.	这支魔杖可储存的最大法力值。	inventory_manamax_tooltip
Mana chg. Spd	法力充能速度	inventory_manachargespeed
This wand's mana regeneration speed.	这支魔杖的法力回复速度。	inventory_manachargespeed_tooltip
Capacity	容量	inventory_capacity
The number of spells that can be inserted into this wand.	可插入这支魔杖的法术数量。	inventory_capacity_tooltip
Spread	散射角度	inventory_spread
The directional deviation of projectiles casted by this wand.	从该魔杖发出投射物的方向偏移。	inventory_spread_tooltip
Charge capacity	充能容量	inventory_chargecapacity
Always casts	始终施放	inventory_alwayscasts
This wand casts some spells every time it's used.	每次使用这支魔杖，它就会施放一些特定法术。	inventory_alwayscasts_description
Uses remaining	剩余使用次数	inventory_usesremaining
Type	类型	inventory_actiontype
Mana drain	法力消耗	inventory_manadrain
Damage	伤害	inventory_damage
Dmg. Expl	爆炸伤害	inventory_dmg_explosion
Expl. Radius	爆炸半径	inventory_explosion_radius
Dmg. Slice	切割伤害	inventory_dmg_slice
Dmg. Drill	穿凿伤害	inventory_dmg_drill
Dmg. Fire	火焰伤害	inventory_dmg_fire
Dmg. Ice	冰冻伤害	inventory_dmg_ice
Speed	速度	inventory_speed
Cast delay	施放延迟	inventory_mod_castdelay
Recharge time	充能时间	inventory_mod_rechargetime
Bounces	弹起次数	inventory_mod_bounces
Proj. Speed	投射速度	inventory_mod_speed
Expl. Radius	爆炸半径	inventory_mod_explosion_radius
Spread	散射角度	inventory_mod_spread
Knockback	击退	inventory_mod_knockback
Damage	伤害	inventory_mod_damage
Dmg. Melee	近战伤害	inventory_mod_damage_melee
Dmg. Electric	雷电伤害	inventory_mod_damage_electric
Dmg. Fire	火焰伤害	inventory_mod_damage_fire
Dmg. Expl	爆炸伤害	inventory_mod_damage_explosion
Crit. Chance	暴击几率	inventory_mod_critchance
WARNING - This wand contains no spells	警告 - 这支魔杖不含法术	inventory_warning_noactions
The wand doesn't do anything. Place some spells into the wand's slots.	这支魔杖没有任何作用。请将法术放入魔杖的法术槽中。	inventory_warning_noactions_description
WARNING - This wand doesn't have enough mana for $0	警告 - 这支魔杖没有足够法力使用法术“$0”	inventory_warning_notenoughmana
Wand has max $0 mana. Casting $1 requires $2 mana.	魔杖的最大法力值为 $0。施放“$1”需要 $2 法力。	inventory_warning_notenoughmana_description
INFO - This wand has been frozen	提示 - 这支魔杖被冻结了	inventory_info_frozen
A spell prevents the wand from being customized.	某个法术阻碍了对魔杖进行修改。	inventory_info_frozen_description
$0 s	$0 秒	inventory_seconds
$0 DEG	$0 度	inventory_degrees
Projectile	投射物	inventory_actiontype_projectile
Static proj.	静态投射物	inventory_actiontype_staticprojectile
Proj. modifier	投射修正	inventory_actiontype_modifier
Multicast	多重施放	inventory_actiontype_drawmany
Material	材料	inventory_actiontype_material
Other	其他	inventory_actiontype_other
Utility	实用	inventory_actiontype_utility
Passive	被动	inventory_actiontype_passive
Spell refresher	法术充能	item_spell_refresh
Picked up Spell refresher	已拾取“法术充能”	itemtitle_spell_refresh
All spells refreshed	所有法术的使用次数已充满	itemdesc_spell_refresh
Picked up a new magic wand	已拾取新魔杖	itemtitle_wand_pickup
Opened a treasure chest!	已开启一个宝箱！	itemtitle_chest_open
A chest was broken open	宝箱被破开	itemtitle_chest_broken_open
Touched the cursed crystal!	触摸了诅咒水晶！	log_endcrystal
Something stirs above you	有什么东西在你头上搅动	logdesc_endcrystal
You have angered the Gods	你触怒了神明	logdesc_temple_spawn_guardian
You have angered the Gods	你触怒了神明	logdesc_gods_are_angry
The Gods are very angry with you	神明对你非常生气	logdesc_gods_are_very_angry
projectile	投射物	damage_projectile
electricity	雷电	damage_electricity
explosion	爆炸	damage_explosion
fire	火焰	damage_fire
melee	近战	damage_melee
drill	穿凿	damage_drill
slice	切割	damage_slice
ice	寒冰	damage_ice
healing	治疗	damage_healing
physics hit	物理击打	damage_physicshit
toxic	毒液	damage_radioactive
poison	中毒	damage_poison
wetness	潮湿	damage_water
fall	坠落	damage_fall
drowning	窒息	damage_drowning
damage from material: $0	来自材料的伤害：$0	damage_frommaterial
kick	踢击	damage_kick
Holy Mountain's curse	圣山诅咒	damage_holy_mountains_curse
Depth:	深度：	stat_depth
Time:	时间：	stat_time
Places visited:	造访地点：	stat_places_visited
Enemies slain:	击杀敌人：	stat_enemies_slain
Max HP:	最大生命值：	stat_max_hp
Gold:	黄金：	stat_gold
Items found:	找到物品：	stat_items_found
Orbs collected:	获得魔球：	stat_orbs
Total deaths:	死亡总次数：	stat_total_deaths
Total play time:	游玩总时间：	stat_total_play_time
Total wins:	胜利总次数：	stat_total_wins
Cause of death: '$0'	死因：“$0”	stat_cause_of_death
(Best: $0)	（最佳：$0）	stat_best
With music by From Grotto and Niilo Takalainen	音乐 From Grotto 与 Niilo Takalainen	credits_music
Sound design by Niilo Takalainen	音效设计 Niilo Takalainen	credits_sounddesign
Noita uses FMOD Studio by Firelight Technologies Pty Ltd	《Noita》使用 Firelight Technologies Pty Ltd. 推出的 F模组 Studio 制作	credits_fmod
Noita (c) Nolla Games Oy 2019	《Noita》(c) Nolla Games Oy 2019	credits_copyright
Perks	天赋	progress_perks
Spells	法术	progress_actions
Secrets	秘密	progress_secrets
Enemies	敌人	progress_enemies
Unlocks	解锁	progress_unlocked
$0 $1 secret(s) found	$0 $1 秘密已发现	progress_completed
Kills: $0	击杀：$0	progress_kills
???	???	progress_unknown
Discovered the secret below - 	已发现下方的秘密 -	progress_ending0
Discovered the secret above - 	已发现上方的秘密 -	progress_ending1
Discovered the secrets above and below - 	已发现上方和下方的秘密 -	progress_ending01
Wet	沾水	status_wet
Wet clothes protect you from fire.	潮湿的魔法斗篷可保护你免受火焰伤害。	statusdesc_wet
Oiled 	油污	status_oiled
Oil makes you slippery and more flammable.	油会让你脚底打滑，并且更容易着火。	statusdesc_oiled
Bloody 	染血	status_bloody
Bloody clothes protect you from fire.\nYou sense an increased chance of attaining critical hits.	染血的魔法斗篷可保护你免受火焰伤害。\n你感觉自己更容易打出暴击。	statusdesc_bloody
Slimy	黏液	status_slimy
Slimy clothes protect you from fire.\nThe mucus makes moving around difficult.	沾染黏液的魔法斗篷可保护你免受火焰伤害。\n湿糊糊的黏液令移动更加困难。	statusdesc_slimy
Toxic	毒液	status_radioactive
Toxic sludge in your clothes makes your health degrade slowly.\nWet clothes protect you from fire.\nCan be washed off by liquids.	毒性淤泥污染了你的魔法斗篷，令你的生命值缓慢减少。\n潮湿的魔法斗篷可保护你免受火焰伤害。\n可用液体清洗去除。	statusdesc_radioactive
Alcoholic	酒精	status_alcoholic
Heavy scent of booze oozes of your clothes.\nAiming is disturbed.\nAnd alcohol is flammable!	你的魔法斗篷散发出浓重的酒气。\n瞄准受到影响。\n同时酒精也非常易燃！	statusdesc_alcoholic
Poisoned	中毒	status_poisoned
A poisoning slowly degrades your health. 	中毒会令你的生命值缓慢减少。	statusdesc_poisoned
Teleportation	传送	status_teleportation
A teleport curse affects you.	你受到传送诅咒影响。	statusdesc_teleportation
Regeneration 	再生	status_hp_regeneration
A health regeneration spell affects you.	你受到生命值恢复法术影响。	statusdesc_hp_regeneration
Polymorph	变形	status_polymorph
You're a sheep.	你成了一只小绵羊。	statusdesc_polymorph
Chaos polymorph	混乱变形	status_polymorph_random
A polymorph curse affects you.	你受到变形诅咒影响。	statusdesc_polymorph_random
Berserk	狂暴	status_berserk
A berserk curse affects you.	你受到狂暴诅咒影响。	statusdesc_berserk
Charmed	魅惑	status_charm
A charm affects you.	你受到魅惑影响。	statusdesc_charm
Invisible	隐形	status_invisibility
The magical liquid on your clothes makes you invisible.\nThe spell is disturbed by stained or wet clothes.	你斗篷上的魔法液体令你隐形。\n魔法斗篷脏污或潮湿时，隐身效果将被打断。\n不，你绝对不能脱掉魔法斗篷。	statusdesc_invisibility
On fire 	着火	status_on_fire
You're on fire. Find some water!	你着火了。快去找水来！	statusdesc_on_fire
Spider leg	蜘蛛腿	boss_limbs_limb_attacker
The Laboratory	实验室	biome_boss_arena
The Work	伟大之作	biome_boss_victoryroom
mines	矿场	biome_coalmine
collapsed mines	坍塌矿场	biome_coalmine_alt
Temple of the Art	艺之神殿	biome_crypt
Desert	沙漠	biome_desert
Dragoncave	龙窟	biome_dragoncave
Master Symbol Crypt	宗师符号地穴	biome_ending_placeholder
Coal Pits	煤矿矿坑	biome_excavationsite
Fungal Caverns	真菌洞穴	biome_fungicave
Gold	金矿	biome_gold
Lake	湖泊	biome_lake
Volcanic Lake	火山湖	biome_lava
Volcanic Cave	火山洞穴	biome_lavacave
Sanctuary	庇护所	biome_magic_gate
unknown	未知	biome_null
Pyramid	金字塔	biome_pyramid
Underground Jungle	地下丛林	biome_rainforest
Sandcave	砂之洞穴	biome_sandcave
Mysterious Gate	神秘之门	biome_secret_entrance
Secret Shop	秘密商店	biome_shop_room
Hiisi Base	席西基地	biome_snowcastle
Snowy Depths	积雪深渊	biome_snowcave
twisty passages	扭曲通道	biome_town_under
The Vault	避难所	biome_vault
magical temple	魔法神殿	biome_wandcave
water	水	biome_water
snowy wasteland	落雪荒原	biome_winter
Holy Mountain	神圣之山	biome_holymountain
East $0	$0以东	biome_east
West $0	$0以西	biome_west
Min?	我自己	animal_player
Kolmisilm?n apuri	三眼之仆	animal_boss_centipede_minion
Kolmisilm?n koipi	三眼之腿	animal_boss_limbs
Mato	蠕虫	animal_boss_dragon_endcrystal
H?m?h?kki	丛林蜘蛛	animal_lukki
Kasvoton H?m?h?kki	无面林蛛	animal_lukki_creepy
Kasvoton Lukki	长腿无面林蛛	animal_lukki_creepy_long
Lukki	长腿林蛛	animal_lukki_longleg
Happonuljaska	酸液毒瘤	animal_acidshooter
Alkemisti	炼金术士	animal_alchemist
Murkku	切叶蚁	animal_ant
Salamurhaajarobotti	机械刺客	animal_assassin
Turvonnu velho	呕吐法师	animal_barfer
Lepakko	黏液蝙蝠	animal_bat
Suurlepakko	黏液蝠王	animal_bigbat
Suurtulik?rp?nen	大萤火虫	animal_bigfirebug
M?t?nev? ruumis	诅咒腐尸	animal_bigzombie
M?t?nev? p??	腐烂头颅	animal_bigzombiehead
M?t?nev? kroppa	腐烂身躯	animal_bigzombietorso
Kiukkum?ykky	斑点	animal_blob
Verikristalli	鲜血魔晶	animal_bloodcrystal_physics
Puska	魔鬼花	animal_bloom
Suomuhauki	龙	animal_boss_dragon
Matkija	宝箱怪	animal_chest_mimic
Kirottu kristalli	诅咒魔晶	animal_crystal_physics
Haamu	鬼魂	animal_darkghost
Nelikoipi	鹿	animal_deer
Lennokki	无人机	animal_drone
Lennokki	无人机	animal_drone_physics
Ankka	鸭子	animal_duck
Nahkiainen	七鰓鰻鱼	animal_eel
Poro	驯鹿	animal_elk
Pikkutulik?rp?nen	萤火虫	animal_firebug
Eldari	炎魔	animal_firemage
Stendari	火魔	animal_firemage_weak
Liekki?	燃火头颅	animal_fireskull
Ev?k?s	青鱼	animal_fish
Suurev?k?s	红鱼	animal_fish_large
Liekkari	火焰喷射兵	animal_flamer
Amppari	蜜蜂	animal_fly
Konna	蟾蜍	animal_frog
Laahustussieni	自爆菇	animal_fungus
Helvetinkatse	地狱凝视	animal_gazer
Houre	妄灵	animal_ghost
Sylkyri	口水怪	animal_ghoul
Hiidenkivi	岩石精怪母体	animal_giant
?itinuljaska	毒瘤母体	animal_giantshooter
Korjauslennokki	治疗无人机	animal_healerdrone_physics
J??hdytyslaite	冰汽喷射兵	animal_icer
J??ti?	燃冰头颅	animal_iceskull
Mulkkio	激光毒瘤	animal_lasershooter
H?mis	蜘蛛	animal_longleg
Limanuljaska	黏液毒瘤	animal_slimeshooter
?itilimanuljaska	毒瘤孽裔	animal_slimeshooter_boss_limbs
Toukka	大肥蛆	animal_maggot
Matkija	宝箱怪	animal_mimic_physics
Tappurahiisi	席西矿工	animal_miner
Tappurahiisil?inen	虚弱的席西矿工	animal_miner_weak
Tulihiisi	席西纵火者	animal_miner_fire
Jouluhiisi	席西圣诞老人	animal_miner_santa
Miina	地雷	animal_mine_scavenger
M?ykky	点点	animal_miniblob
Hein?sirkka	机械蚱蜢	animal_missilecrab
Lohkare	岩石精怪	animal_pebble
Toveri lohkare	岩石精怪伙伴	animal_pebble_player
Spiraalikalma	螺旋亡灵	animal_phantom_a
Kiukkukalma	愤怒亡灵	animal_phantom_b
Kummitus	鬼影	animal_playerghost
Rotta	老鼠	animal_rat
Robottikytt?	机械战警	animal_roboguard
Isohiisi	席西士官长	animal_scavenger_clusterbomb
Kranuhiisi	席西榴弹兵	animal_scavenger_grenade
Parantajahiisi	席西治疗兵	animal_scavenger_heal
Toimari	席西军团首领	animal_scavenger_leader
Miinankylv?j?	席西布雷兵	animal_scavenger_mine
Myrkkyhiisi	席西毒枪兵	animal_scavenger_poison
Rynkkyhiisi	席西步枪兵	animal_scavenger_smg
Skorpioni	蝎子	animal_scorpion
Lammas	绵羊	animal_sheep
Lentolammas	恶魔绵羊	animal_sheep_bat
Suhiseva lammas	嗡嗡绵羊	animal_sheep_fly
Plasmakukka	电浆花	animal_shooterflower
Heikko haulikkohiisi	虚弱的席西猎手	animal_shotgunner_weak
Haulikkohiisi	席西猎手	animal_shotgunner
Kallok?rp?nen	骷髅巨蝇	animal_skullfly
Kallorotta	骷髅飞鼠	animal_skullrat
Snipuhiisi	席西狙击手	animal_sniper
Helvetin sylkij?	地狱吐息	animal_spitmonster
Patsas	鬼魅面具	animal_statue_physics
KK-Tankki	KK坦克	animal_tank
IT-Tankki	IT坦克	animal_tank_rocket
Turso	触手怪	animal_tentacler
Pikkuturso	小触手怪	animal_tentacler_small
Ukko	电魔	animal_thundermage
Torjuntalaite	哨戒炮塔	animal_turret
Taikasauva	魔杖灵	animal_wand_ghost
Sokaisunmestari	致盲法师	animal_wizard_dark
Muodonmuutosmestari	变形法师	animal_wizard_poly
Siirt?j?mestari	传送法师	animal_wizard_tele
Susi	狼	animal_wolf
Mato	蠕虫	animal_worm
J?ttimato	巨型蠕虫	animal_worm_big
Helvetinmato	地狱蠕虫	animal_worm_end
Kalmamato	亡灵蠕虫	animal_worm_skull
Pikkumato	小型蠕虫	animal_worm_tiny
Heikkohurtta	虚弱的僵尸犬	animal_zombie_weak
Hurtta	僵尸犬	animal_zombie
Double spell	二重施法	action_burst_2
Simultaneously casts 2 spells	同时施放 2 个法术	actiondesc_burst_2
Triple spell	三重施法	action_burst_3
Simultaneously casts 3 spells	同时施放 3 个法术	actiondesc_burst_3
Quadruple spell	四重施法	action_burst_4
Simultaneously casts 4 spells	同时施放 4 个法术	actiondesc_burst_4
Double scatter spell	二重散射施法	action_scatter_2
Simultaneously casts 2 spells with low accuracy	同时施放 2 个法术，但精确度较低	actiondesc_scatter_2
Triple scatter spell	三重散射施法	action_scatter_3
Simultaneously casts 3 spells with low accuracy	同时施放 3 个法术，但精确度较低	actiondesc_scatter_3
Quadruple scatter spell	四重散射施法	action_scatter_4
Simultaneously casts 4 spells with low accuracy	同时施放 4 个法术，但精确度较低	actiondesc_scatter_4
Formation - behind your back	阵型 - 背后	action_i_shape
Casts two spells: one ahead of and one behind the caster	施放 2 个法术：在施术者前后各一	actiondesc_i_shape
Formation - bifurcated	阵型 - 分叉	action_y_shape
Casts 2 spells in a bifurcated pattern	以分叉形式施放 2 个法术	actiondesc_y_shape
Formation - above and below	阵型 - 上下	action_t_shape
Casts 3 spells - ahead, above and below the caster	施放 3 个法术 - 分别位于施术者前方、上方和下方	actiondesc_t_shape
Formation - trifurcated	阵型 - 三叉	action_w_shape
Casts 3 spells in a trifurcated pattern	以三叉形式施放 3 个法术	actiondesc_w_shape
Formation - hexagon	阵型 - 六边形	action_circle_shape
Casts 6 spells in a hexagonal pattern	以六边形施放 6 个法术	actiondesc_circle_shape
Formation - pentagon	阵型 - 五边形	action_pentagram_shape
Casts 5 spells in a pentagonal pattern	以五边形施放 5 个法术	actiondesc_pentagram_shape
Reduce spread	降低散射	action_spread_reduce
Reduces the spread of a spell	降低投射物的散射	actiondesc_spread_reduce
Reduce recharge time	缩减充能时间	action_recharge
Reduces the time between spellcasts	缩减法术施放之间的时间间隔。	actiondesc_recharge
Gravity	重力	action_gravity
Increases the effect gravity has on a projectile	提高作用于投射物的重力	actiondesc_gravity
Anti-gravity	反重力	action_gravity_anti
Applies a lifting force to a projectile	对投射物施加向上的力	actiondesc_gravity_anti
Penetrate walls	穿墙	action_penetrate_walls
Gives a projectile more penetration power	提高投射物的穿透力	actiondesc_penetrate_walls
Slithering path	蛇行路径	action_sinewave
Makes a projectile move rapidly in a slithering manner, like a snake	令投射物像蛇一样在空气中高速穿行	actiondesc_sinewave
Bounce	弹跳	action_bounce
Makes a projectile bounce on impact	令投射物在接触时弹跳	actiondesc_bounce
Homing	追踪	action_homing
Boomerang	回旋镖	action_homing_shooter
Gives a projectile a path that curves towards you	令投射物飞回你自己	actiondesc_homing_shooter
Damage Plus	伤害增强	action_damage
Increases the damage done by a projectile	提高法术造成的伤害	actiondesc_damage
Critical Plus	暴击增强	action_critical_hit
Gives a projectile +15% chance of a critical hit	令投射物造成暴击的几率 +15%	actiondesc_critical_hit
Cunning power	巧妙之力	action_damage_friendly
Gives a projectile extra damage, but makes it capable of damaging you	赋予投射物额外的伤害，但会让它对你自己也会造成伤害	actiondesc_damage_friendly
Intense power	强大之力	action_damage_x2
Sundering power	分离之力	action_damage_x5
Heavy Shot	沉重一击	action_heavy_shot
Greatly increases the damage done by a projectile, at the cost of its speed	大幅提高法术造成的伤害，但降低其飞行速度	actiondesc_heavy_shot
Knockback	击退	action_knockback
